rspm,pm2_5,date
204,78,16/01/15
192,83,21/01/15
159,146,27/01/15
267,62,02/02/15
235,112,05/02/15
241,62,10/02/15
268,63,18/02/15
210,107,23/02/15
210,57,26/02/15
199,44,04/03/15
199,47,10/03/15
187,75,13/03/15
219,47,18/03/15
178,78,23/03/15
174,82,26/03/15
206,78,01/04/15
243,71,09/04/15
228,58,17/04/15
229,77,22/04/15
219,53,27/04/15
209,29,01/05/15
121,89,07/05/15
156,91,12/05/15
132,97,15/05/15
123,61,20/05/15
302,101,25/05/15
329,77,28/05/15
264,77,03/06/15
173,126,08/06/15
149,76,11/06/15
150,55,16/06/15
185,42,19/06/15
155,112,24/06/15
183,100,29/06/15
150,82,03/07/15
276,92,08/07/15
134,85,13/07/15
155,83,16/07/15
148,42,21/07/15
176,62,24/07/15
261,86,29/07/15
164,66,04/08/15
256,52,07/08/15
200,36,12/08/15
151,44,17/08/15
198,32,20/08/15
253,58,25/08/15
197,65,28/08/15
283,87,03/09/15
236,28,08/09/15
224,78,11/09/15
232,110,16/09/15
214,71,21/09/15
241,63,24/09/15
241,51,01/10/15
229,99,07/10/15
395,98,12/10/15
266,76,15/10/15
248,154,20/10/15
276,158,26/10/15
235,111,29/10/15
275,115,04/11/15
343,163,10/11/15
256,56,13/11/15
202,127,18/11/15
284,161,23/11/15
302,122,27/11/15
397,110,01/01/15
250,155,06/01/15
344,163,09/01/15
258,144,14/01/15
351,135,19/01/15
289,101,28/01/15
254,165,03/02/15
233,115,06/02/15
302,170,11/02/15
400,151,16/02/15
306,138,19/02/15
362,154,24/02/15
223,126,05/03/15
175,122,11/03/15
158,64,16/03/15
167,85,19/03/15
210,93,24/03/15
197,71,27/03/15
167,76,07/04/15
151,99,10/04/15
207,90,15/04/15
340,84,20/04/15
300,115,23/04/15
227,38,28/04/15
232,119,05/05/15
239,74,08/05/15
157,45,13/05/15
270,76,18/05/15
204,48,21/05/15
300,49,26/05/15
258,28,01/06/15
220,105,04/06/15
324,56,09/06/15
330,39,12/06/15
303,63,17/06/15
316,76,22/06/15
214,68,25/06/15
246,39,01/07/15
106,18,06/07/15
197,45,09/07/15
223,23,14/07/15
289,32,22/07/15
219,18,27/07/15
218,14,30/07/15
104,51,05/08/15
217,34,01/09/15
211,43,04/09/15
225,39,09/09/15
231,75,14/09/15
184,81,17/09/15
125,19,22/09/15
249,106,05/10/15
250,85,08/10/15
247,72,13/10/15
327,318,16/10/15
289,142,21/10/15
173,161,27/10/15
371,162,02/11/15
445,123,04/11/15
371,148,16/11/15
413,245,19/11/15
389,206,24/11/15
289,151,07/01/15
425,147,12/01/15
266,152,15/01/15
272,139,20/01/15
165,99,23/01/15
276,78,09/02/15
214,172,12/02/15
343,155,17/02/15
287,107,20/02/15
263,138,25/02/15
113,64,03/03/15
234,55,09/03/15
294,69,12/03/15
238,42,17/03/15
155,62,20/03/15
232,98,25/03/15
145,45,30/03/15
166,48,08/04/15
224,64,13/04/15
248,52,16/04/15
334,46,21/04/15
355,94,24/04/15
261,97,06/05/15
265,54,11/05/15
240,95,14/05/15
294,116,19/05/15
192,129,22/05/15
314,81,27/05/15
543,44,02/06/15
250,78,05/06/15
261,93,15/06/15
254,100,18/06/15
166,86,23/06/15
133,45,02/07/15
138,54,07/07/15
314,220,03/11/15
405,265,06/11/15
281,262,12/11/15
170,144,17/11/15
234,143,20/11/15
470,210,26/11/15
143,62,07/01/15
140,61,12/01/15
187,56,15/01/15
113,84,20/01/15
120,109,23/01/15
160,145,29/01/15
150,70,04/02/15
152,82,09/02/15
168,134,12/02/15
170,79,17/02/15
145,61,20/02/15
167,114,25/02/15
142,110,03/03/15
80,52,09/03/15
215,96,12/03/15
214,96,17/03/15
190,111,20/03/15
112,80,25/03/15
145,127,30/03/15
175,89,08/04/15
169,72,13/04/15
190,65,16/04/15
207,68,21/04/15
180,39,24/04/15
212,50,29/04/15
121,48,06/05/15
141,117,14/05/15
129,58,22/05/15
147,62,27/05/15
137,118,05/06/15
118,59,10/06/15
206,111,18/06/15
191,98,23/06/15
215,74,26/06/15
206,94,02/07/15
166,56,07/07/15
181,139,15/07/15
333,67,20/07/15
195,93,23/07/15
232,80,28/07/15
212,43,03/08/15
174,93,06/08/15
165,103,11/08/15
163,68,14/08/15
125,79,19/08/15
161,142,24/08/15
239,62,27/08/15
195,117,02/09/15
197,90,07/09/15
261,148,10/09/15
152,81,15/09/15
100,87,18/09/15
244,120,23/09/15
195,76,29/09/15
226,86,06/10/15
245,59,09/10/15
246,52,14/10/15
192,70,19/10/15
255,218,23/10/15
313,94,28/10/15
284,222,03/11/15
119,84,05/11/15
403,194,09/11/15
163,69,12/11/15
176,89,17/11/15
340,123,20/11/15
346,96,26/11/15
192,86,06/01/15
197,126,09/01/15
101,156,14/01/15
237,172,19/01/15
102,62,03/02/15
174,70,06/02/15
146,125,11/02/15
144,59,16/02/15
140,84,19/02/15
181,98,24/02/15
161,110,11/03/15
171,119,16/03/15
165,97,19/03/15
149,100,24/03/15
175,93,27/03/15
173,61,07/04/15
140,49,10/04/15
171,56,15/04/15
242,75,20/04/15
195,60,23/04/15
137,83,05/05/15
120,73,08/05/15
50,27,13/05/15
89,80,18/05/15
61,46,21/05/15
110,97,26/05/15
151,28,01/06/15
195,93,04/06/15
167,126,09/06/15
143,119,12/06/15
121,34,17/06/15
111,38,25/06/15
171,102,14/07/15
191,75,17/07/15
158,44,22/07/15
292,131,27/07/15
179,89,30/07/15
124,61,05/08/15
186,87,10/08/15
197,95,13/08/15
189,62,18/08/15
208,84,21/08/15
150,71,26/08/15
181,74,01/09/15
146,93,04/09/15
152,87,14/09/15
244,94,22/09/15
123,64,28/09/15
258,58,05/10/15
177,87,08/10/15
184,80,13/10/15
281,110,16/10/15
252,87,21/10/15
385,101,27/10/15
190,125,02/11/15
231,135,06/11/15
211,115,16/11/15
332,236,19/11/15
343,126,24/11/15
221,141,05/01/15
171,139,08/01/15
242,121,13/01/15
277,127,21/01/15
170,129,27/01/15
393,184,02/02/15
282,177,05/02/15
156,120,10/02/15
243,150,18/02/15
257,138,23/02/15
227,93,04/03/15
225,102,13/03/15
121,73,18/03/15
98,69,23/03/15
171,60,26/03/15
116,81,01/04/15
127,85,09/04/15
194,76,17/04/15
209,88,22/04/15
205,64,27/04/15
253,89,07/05/15
235,116,12/05/15
225,56,15/05/15
237,71,20/05/15
246,86,25/05/15
267,108,28/05/15
258,75,03/06/15
167,156,08/06/15
229,94,11/06/15
228,95,16/06/15
254,88,19/06/15
198,64,24/06/15
194,140,29/06/15
252,108,03/07/15
215,67,08/07/15
243,42,13/07/15
226,94,16/07/15
146,44,21/07/15
101,92,24/07/15
416,124,29/07/15
171,51,04/08/15
162,57,07/08/15
306,117,12/08/15
184,51,17/08/15
156,115,20/08/15
158,42,25/08/15
253,38,28/08/15
164,150,03/09/15
189,114,08/09/15
228,169,11/09/15
199,135,16/09/15
196,54,21/09/15
277,172,24/09/15
204,151,07/10/15
210,138,12/10/15
234,104,15/10/15
427,179,20/10/15
411,136,26/10/15
450,225,29/10/15
161,117,05/11/15
334,197,09/11/15
504,192,13/11/15
360,241,18/11/15
374,186,23/11/15
426,116,27/11/15
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
